by,bin,n_plays,actual
All,0.0,136474,0.003385260196081305
All,0.05,49558,0.04867024496549498
All,0.1,45700,0.09776805251641138
All,0.15,44776,0.15148740396641058
All,0.2,43440,0.204304788213628
All,0.25,48364,0.24904887933173434
All,0.3,55171,0.30280400935273966
All,0.35,56121,0.34954829742876997
All,0.4,64121,0.4023486845183325
All,0.45,71424,0.44730062724014336
All,0.5,67254,0.5023344336396348
All,0.55,77409,0.5524034672970843
All,0.6,69493,0.5971105003381636
All,0.65,62788,0.6470663184047907
All,0.7,56678,0.6990895938459367
All,0.75,50120,0.7470271348762969
All,0.8,46747,0.79960211350461
All,0.85,46461,0.8489916273864101
All,0.9,47241,0.903346669206833
All,0.95,52264,0.9521276595744681
All,1.0,76616,0.9932259580244336
