"yardline_100","fg_model_roof","prob"
1,"00",0.989287397349488
2,"00",0.987641164589454
3,"00",0.985747743983025
4,"00",0.983575144502198
5,"00",0.981089781370131
6,"00",0.97825661975237
7,"00",0.975039181744938
8,"00",0.971399385006344
9,"00",0.967297240998002
10,"00",0.962690529072312
11,"00",0.957534665981861
12,"00",0.951783084397614
13,"00",0.945388486528609
14,"00",0.938305314990824
15,"00",0.930493651367743
16,"00",0.921924494112391
17,"00",0.912585986491787
18,"00",0.902489707889783
19,"00",0.89167570928934
20,"00",0.880214721546215
21,"00",0.86820606704101
22,"00",0.855770379220224
23,"00",0.843037253157208
24,"00",0.830129192680259
25,"00",0.817144315819146
26,"00",0.804140852474987
27,"00",0.79112630170615
28,"00",0.778053259980116
29,"00",0.764822668255488
30,"00",0.751293931155767
31,"00",0.737300345234173
32,"00",0.722667678836861
33,"00",0.707233548374174
34,"00",0.690865315836981
35,"00",0.673474476894118
36,"00",0.655025881625504
37,"00",0.635540677240763
38,"00",0.615092648479249
39,"00",0.593798640145785
40,"00",0.571804810761343
41,"00",0.549271290887301
42,"00",0.526358098625957
43,"00",0.50321473838389
44,"00",0.479974861106624
45,"00",0.456756001345041
46,"00",0.433663134831332
47,"00",0.41079397400231
48,"00",0.388243731752651
49,"00",0.366107530917329
50,"00",0.344479538155093
51,"00",0.323448961172978
52,"00",0.303095001282119
53,"00",0.283483001023719
54,"00",0.2646580888253
55,"00",0.246652932678615
56,"00",0.229490417033613
57,"00",0.213184160615493
58,"00",0.197739188430717
59,"00",0.183152717390442
60,"00",0.169415016389773
61,"00",0.15651030484118
62,"00",0.14441765804301
63,"00",0.133111892862886
64,"00",0.122564412584267
65,"00",0.112743995038713
66,"00",0.103617513054328
67,"00",0.0951505806101106
68,"00",0.0873081217946179
69,"00",0.0800548626895663
70,"00",0.0733557486497401
71,"00",0.0671762911803292
72,"00",0.061482849793932
73,"00",0.0562428549453202
74,"00",0.0514249784782543
75,"00",0.0469992580572014
76,"00",0.0429371818720819
77,"00",0.0392117395609232
78,"00",0.0357974448476876
79,"00",0.0326703348844966
80,"00",0.0298079507532277
81,"00",0.0271893030468312
82,"00",0.0247948259342659
83,"00",0.0226063226272828
84,"00",0.020606904720234
85,"00",0.0187809274698207
86,"00",0.0171139227215842
87,"00",0.015592530873403
88,"00",0.0142044329912882
89,"00",0.0129382839565215
90,"00",0.01178364732228
91,"00",0.0107309323887657
92,"00",0.00977133386487194
93,"00",0.00889677436810329
94,"00",0.00809984991952381
95,"00",0.00737377851391766
96,"00",0.00671235178437635
97,"00",0.00610988973274665
98,"00",0.00556119846061899
99,"00",0.00506153080795975
1,"01",0.994599666340737
2,"01",0.993710739560076
3,"01",0.992677770174022
4,"01",0.991479957565947
5,"01",0.990094739693056
6,"01",0.988497702333875
7,"01",0.986662499235876
8,"01",0.984560831230757
9,"01",0.982162505705103
10,"01",0.979435522151282
11,"01",0.976346013424714
12,"01",0.97285775286414
13,"01",0.968930878234073
14,"01",0.96451955783748
15,"01",0.959568584009303
16,"01",0.95400932135307
17,"01",0.947755987641785
18,"01",0.94070377642565
19,"01",0.932730697869211
20,"01",0.92370507858084
21,"01",0.913500262541794
22,"01",0.902016973028583
23,"01",0.889211793956525
24,"01",0.875127302519485
25,"01",0.859916170846307
26,"01",0.843849592463721
27,"01",0.827301689479948
28,"01",0.810707248282409
29,"01",0.794498953735276
30,"01",0.779038472800643
31,"01",0.764559055554259
32,"01",0.751133970435227
33,"01",0.738676867004753
34,"01",0.726971002912369
35,"01",0.715717690128199
36,"01",0.704591785245515
37,"01",0.693293065026044
38,"01",0.681585403242093
39,"01",0.669319346074984
40,"01",0.656437105245991
41,"01",0.642961878147383
42,"01",0.628975731371127
43,"01",0.61459188916806
44,"01",0.599927785991826
45,"01",0.585084362026473
46,"01",0.570134897475558
47,"01",0.555123810993215
48,"01",0.540073199121832
49,"01",0.524993270951976
50,"01",0.50989262065637
51,"01",0.494785352167457
52,"01",0.479692571071294
53,"01",0.464637593031597
54,"01",0.449646782450603
55,"01",0.434746869605836
56,"01",0.419963932651487
57,"01",0.405323219309632
58,"01",0.390848980947419
59,"01",0.376564321245746
60,"01",0.362491061304755
61,"01",0.348649622637458
62,"01",0.335058929089107
63,"01",0.321736328300496
64,"01",0.308697532921719
65,"01",0.2959565813912
66,"01",0.283525817733614
67,"01",0.271415889508404
68,"01",0.259635762764109
69,"01",0.248192752627121
70,"01",0.237092567978581
71,"01",0.226339368549942
72,"01",0.215935832694391
73,"01",0.205883234064552
74,"01",0.196181525442062
75,"01",0.186829428016536
76,"01",0.177824524494118
77,"01",0.169163354523219
78,"01",0.160841511051324
79,"01",0.15285373636583
80,"01",0.145194016718941
81,"01",0.137855674586409
82,"01",0.130831457758878
83,"01",0.124113624608789
84,"01",0.117694025012971
85,"01",0.111564176538688
86,"01",0.10571533561798
87,"01",0.100138563540253
88,"01",0.0948247871861655
89,"01",0.0897648545065765
90,"01",0.0849495848191612
91,"01",0.0803698140526099
92,"01",0.0760164351149096
93,"01",0.0718804335989752
94,"01",0.0679529190665649
95,"01",0.0642251521712841
96,"01",0.0606885678941832
97,"01",0.0573347951722385
98,"01",0.0541556732015223
99,"01",0.051143264694316
1,"10",0.991517614349696
2,"10",0.990092576587747
3,"10",0.988432106962591
4,"10",0.986500468991797
5,"10",0.984258012240559
6,"10",0.981660924007469
7,"10",0.978661081637925
8,"10",0.975206152651766
9,"10",0.971240113362752
10,"10",0.966704327101882
11,"10",0.961539226869865
12,"10",0.955686491915162
13,"10",0.949091429727223
14,"10",0.941705137994349
15,"10",0.933486000563764
16,"10",0.924400222376722
17,"10",0.914421426275254
18,"10",0.90352973064741
19,"10",0.891711040641857
20,"10",0.878957342447953
21,"10",0.865268482234905
22,"10",0.850655264714331
23,"10",0.835142899962346
24,"10",0.818773155297679
25,"10",0.801603353713585
26,"10",0.783700831581779
27,"10",0.765132641357562
28,"10",0.745951889652469
29,"10",0.72618362702413
30,"10",0.705814083485391
31,"10",0.684786887247561
32,"10",0.66300867971543
33,"10",0.640364557971635
34,"10",0.616741532849422
35,"10",0.592056182809402
36,"10",0.566281317857391
37,"10",0.539466072771068
38,"10",0.511744687163305
39,"10",0.483331389009131
40,"10",0.454501975500904
41,"10",0.425566053931765
42,"10",0.396836300503665
43,"10",0.368601541862117
44,"10",0.341108744270735
45,"10",0.314555823351972
46,"10",0.28909384593854
47,"10",0.26483488906349
48,"10",0.241861169308552
49,"10",0.220231961399431
50,"10",0.199986662924956
51,"10",0.181144308466682
52,"10",0.163701994762803
53,"10",0.147634553506714
54,"10",0.132893539790193
55,"10",0.119418175952079
56,"10",0.10714037663008
57,"10",0.0959873018784054
58,"10",0.0858835605976278
59,"10",0.0767530548514765
60,"10",0.0685204760599184
61,"10",0.0611124781298106
62,"10",0.0544585611931103
63,"10",0.04849170383669
64,"10",0.0431487826090369
65,"10",0.038370816162296
66,"10",0.0341030684638248
67,"10",0.0302950417475737
68,"10",0.0269003857639943
69,"10",0.0238767457736695
70,"10",0.0211855678407596
71,"10",0.0187918764511142
72,"10",0.0166640363715885
73,"10",0.0147735079990553
74,"10",0.0130946032057802
75,"10",0.0116042468393599
76,"10",0.0102817475375278
77,"10",0.00910858032447089
78,"10",0.00806818251996341
